"player_api_id","num_appearences","num_leagues","player_name","overall_rating","gk_rating"
22714,11,1,"Ivan Ivanov",70,33
22732,13,1,"Janicio Martins",69,125
22764,220,1,"Martin Skrtel",81,29
22785,21,1,"Stilianos Malezas",71,38
22822,32,1,"Aleksander Seliga",67,270
22824,14,1,"Dusan Svento",70,48
22831,21,2,"Marcel Gecov",65,44
22832,15,1,"Lukas Jarolim",68,38
22834,79,1,"Marek Suchy",78,48
22894,9,1,"Dean Hammond",69,51
22924,52,1,"Neil Alexander",64,262
22928,78,2,"Glenn Loovens",68,45
22929,151,2,"Joe Ledley",74,44
22952,67,1,"Isaac Osbourne",60,41
22959,24,1,"Luke Varney",66,44
22962,74,1,"Ben Williams",63,242
22964,99,1,"Billy Jones",71,52
22969,175,2,"Michael Higdon",63,41
22978,28,1,"Ross Turnbull",65,268
22982,22,1,"Philip Chidi Onyemah",64,114
22984,57,1,"Ivan Cordoba",78,41
22988,2,1,"Mark Hudson",67,34
22991,85,1,"Ben Watson",71,34
22994,14,2,"Tom Soares",59,31
22998,75,1,"Julian Speroni",76,299
23007,31,1,"Andrew Davies",67,45
23016,3,1,"Chris Turner",60,38
23019,1,1,"Giles Barnes",71,39
23021,116,1,"Boaz Myhill",72,288
23022,60,1,"Andrew Dawson",57,34
23023,31,1,"Ian Ashbee",65,42
23025,19,1,"Nick Barmby",61,29
23027,21,1,"Matt Duke",60,223
23030,97,1,"Damien Delaney",74,46
23034,35,1,"Craig Fagan",61,34
23036,1,1,"Ryan France",60,29
23051,11,1,"Jimmy Juan",60,37
23054,1,1,"Owen Garvan",66,45
23065,31,1,"Stephen Crainey",65,26
23069,2,1,"Frazer Richardson",62,46
23070,38,1,"Shaun Derry",63,33
23072,12,1,"Richard Cresswell",59,29
23073,21,1,"Matthew Kilgallon",68,53
23074,20,1,"Robbie Blake",63,34
23075,40,1,"Franco Sosa",70,34
23080,30,1,"Rab Douglas",61,244
23081,76,1,"Alan Maybury",58,43
23083,62,1,"Stephen Hughes",63,45
23091,67,1,"Richard Stearman",72,43
23093,4,1,"Tommy Wright",52,100
23099,64,1,"Kevin Foley",66,39
23104,32,1,"Rowan Vine",61,43
23114,61,1,"Dean Brill",66,261
23115,29,1,"Leon Barnett",70,38
23117,180,1,"John Sutton",65,47
23127,84,1,"Jody Morris",64,43
23133,12,1,"Adam Drury",64,42
23134,38,1,"Jason Shackell",75,30
23139,4,1,"Dean Ashton",81,106
23141,116,1,"Paul Gallacher",62,242
23144,24,2,"Jurgen Colin",65,111
23147,1,1,"Joe Lewis",67,256
23148,60,3,"Marc Janko",74,46
23151,184,1,"Frazer Wright",65,43
23163,10,1,"Akos Buzsaky",71,38
23170,9,1,"Matt Derbyshire",65,37
23182,13,1,"Omar Daley",63,36
23185,33,1,"Graham Alexander",64,37
23186,46,1,"Callum Davidson",59,45
23187,19,1,"Youl Mawene",62,48
23190,49,1,"David Nugent",71,56
23193,2,1,"Matthew Hill",60,42
23225,57,1,"Stephen Hunt",64,45
23249,29,1,"Lee Bullen,29",59,114
23253,209,1,"Glenn Whelan",76,56
23254,53,1,"Burton O'Brien",63,127
23257,188,1,"Chris Brunt",68,42
23264,215,1,"Gabriel Agbonlahor",74,33
23265,33,1,"Patrick Kenny,30",63,254
23268,224,1,"Phil Jagielka",81,137
23271,4,1,"Danny Webber",63,39
23275,1,1,"Michael Tonge",65,56
23282,94,1,"Nicky Shorey",61,42
23283,111,1,"Steve Sidwell",73,37
23284,16,1,"Ibrahima Sonko",64,35
23285,4,1,"Glen Little",65,42
23286,4,1,"Leroy Lita",64,33
23288,20,1,"Dave Kitson",64,32
23291,84,1,"Kevin Doyle",68,37
23293,114,1,"Shane Long",75,44
23299,6,1,"Brett Ormerod",66,24
23304,11,1,"Djamel Belmadi",63,139
23305,96,1,"Nathan Dyer",76,49
23307,13,2,"Steve Simonsen",62,248
23310,49,1,"Michael Duberry",60,48
23311,65,1,"Clint Hill",72,49
23314,36,1,"Mamady Sidibe",63,25
23317,57,1,"David Templeton",64,31
23333,25,1,"Seyi Olofinjana",66,36
23334,48,1,"Jody Craddock",64,57
23335,42,1,"Jackie McNamara",60,115
23349,27,1,"Clarke Carlisle",61,41
23352,28,1,"Marlon King",71,49
23354,190,1,"Ashley Young",79,56
